Вопрос1;1;Ответ1;Ответ2;Ответ3;Ответ4
Вопрос2;2;Ответ1;Ответ2;Ответ3;Ответ4
Вопрос3;3;Ответ1;Ответ2;Ответ3;Ответ4
Вопрос4;4;Ответ1;Ответ2;Ответ3;Ответ4
Вопрос5;3;Ответ1;Ответ2;Ответ3;Ответ4
Вопрос6;3;Ответ1;Ответ2;Ответ3;Ответ4
Вопрос7;2;Ответ1;Ответ2;Ответ3;Ответ4
Вопрос8;1;Ответ1;Ответ2;Ответ3;Ответ4
Вопрос9;1;Ответ1;Ответ2;Ответ3;Ответ4
Вопрос10;2;Ответ1;Ответ2;Ответ3;Ответ4
Вопрос11;2;Ответ1;Ответ2;Ответ3;Ответ4
Вопрос12;3;Ответ1;Ответ2;Ответ3;Ответ4
Вопрос13;4;Ответ1;Ответ2;Ответ3;Ответ4
Вопрос14;3;Ответ1;Ответ2;Ответ3;Ответ4
Вопрос15;2;Ответ1;Ответ2;Ответ3;Ответ4
Вопрос16;1;Ответ1;Ответ2;Ответ3;Ответ4
Вопрос17;2;Ответ1;Ответ2;Ответ3;Ответ4
Вопрос18;2;Ответ1;Ответ2;Ответ3;Ответ4
Вопрос19;3;Ответ1;Ответ2;Ответ3;Ответ4
Вопрос20;4;Ответ1;Ответ2;Ответ3;Ответ4
Вопрос21;4;Ответ1;Ответ2;Ответ3;Ответ4
Вопрос22;1;Ответ1;Ответ2;Ответ3;Ответ4
Вопрос23;2;Ответ1;Ответ2;Ответ3;Ответ4
Вопрос24;1;Ответ1;Ответ2;Ответ3;Ответ4
Вопрос25;2;Ответ1;Ответ2;Ответ3;Ответ4
Вопрос26;3;Ответ1;Ответ2;Ответ3;Ответ4
Вопрос27;4;Ответ1;Ответ2;Ответ3;Ответ4
Вопрос28;4;Ответ1;Ответ2;Ответ3;Ответ4
